Date,Open,High,Low,Close,Volume,OpenInt
40814 ,26.087,26.087,26.087,26.087,101,0
40816 ,25.226,25.226,24.994,24.994,5993,0
40820 ,23.936,23.946,23.867,23.946,3104,0
40821 ,25.109,25.109,25.109,25.109,101,0
40823 ,25.574,25.594,25.439,25.594,1806,0
40827 ,26.457,26.457,26.408,26.408,34248,0
40828 ,27.048,27.301,27.048,27.301,11727,0
40829 ,26.806,26.806,26.806,26.806,411,0
40830 ,27.262,27.262,27.262,27.262,206,0
40833 ,26.903,26.903,26.903,26.903,176,0
40836 ,26.379,26.379,26.379,26.379,186,0
40837 ,26.816,26.816,26.816,26.816,4228,0
40840 ,27.436,27.514,27.436,27.514,781,0
40841 ,27.252,27.252,27.252,27.252,118,0
40842 ,27.262,27.34,27.125,27.34,687,0
40843 ,28.288,28.716,28.258,28.716,67325,0
40844 ,28.851,28.851,28.716,28.851,309,0
40848 ,27.388,27.388,27.35,27.35,1940,0
40849 ,27.639,27.639,27.639,27.639,411,0
40850 ,27.99,28.059,27.99,28.059,542,0
40851 ,27.844,27.844,27.844,27.844,237,0
40854 ,27.756,27.756,27.756,27.756,160,0
40855 ,27.844,28.145,27.844,28.135,975,0
40858 ,27.903,27.903,27.649,27.649,638,0
40861 ,27.446,27.737,27.446,27.63,9909,0
40862 ,27.62,27.668,27.62,27.668,720,0
40865 ,26.876,26.913,26.767,26.913,1515,0
40868 ,26.067,26.283,26.067,26.186,2061,0
40869 ,26.603,26.623,26.283,26.302,738,0
40875 ,26.399,26.399,26.399,26.399,411,0
40878 ,27.824,27.824,27.824,27.824,206,0
40879 ,27.688,28.184,27.572,27.639,22918,0
40882 ,27.874,27.874,27.874,27.874,411,0
40883 ,27.639,27.639,27.639,27.639,101,0
40885 ,27.61,27.61,27.61,27.61,132,0
40886 ,27.34,27.728,27.252,27.728,11323,0
40889 ,27.242,27.552,26.923,27.105,1341,0
40893 ,26.447,26.447,26.215,26.389,16029,0
40896 ,26.273,26.389,26.196,26.389,1238,0
40897 ,26.777,26.806,26.737,26.806,1345,0
40898 ,26.806,26.923,26.65,26.923,16067,0
40899 ,27.085,27.115,27.019,27.048,5326,0
